español,ingles
ESPAÑA,SPAIN
ARGENTINA,ARGENTINA
COLOMBIA,COLOMBIA
RUMANIA,ROMANIA
REPUBLICA DOMINICANA,DOMINICAN REPUBLIC
R.U.GRAN BRETAÑA E IRL N.,UK GREAT BRITAIN AND IRL N.
MARRUECOS,MOROCCO
ECUADOR,ECUADOR
GUINEA ECUATORIAL,EQUATORIAL GUINEA
POLONIA,POLAND
MALI,MALI
CUBA,CUBA
ESTADOS UNIDOS DE AMERICA,UNITED STATES OF AMERICA
PAKISTAN,PAKISTAN
BULGARIA,BULGARIA
NICARAGUA,NICARAGUA
LATVIA-LETONIA,LATVIA
SENEGAL,SENEGAL
ARGELIA,ALGERIA
REPUBLICA DE ISLANDIA,REPUBLIC OF ICELAND
GHANA,GHANA
FRANCIA,FRANCE
VENEZUELA,VENEZUELA
LIBANO,LEBANON
PORTUGAL,PORTUGAL
UCRANIA,UKRAINE
CANADA,CANADA
URUGUAY,URUGUAY
CHINA,CHINA
MAURITANIA,MAURITANIA
GAMBIA,The Gambia
ITALIA,ITALY
PAISES BAJOS,NETHERLANDS
FEDERACION RUSA,RUSSIA
KAZAKHSTAN,KAZAKHSTAN
PERU,PERU
SIRIA,SYRIA
JORDANIA,JORDAN
MONGOLIA,MONGOLIA
HONDURAS,HONDURAS
CABO VERDE,Cape Verde islands
CHILE,CHILE
EL SALVADOR,EL SALVADOR
BOLIVIA,BOLIVIA
FILIPINAS,PHILIPPINES
BELGICA,BELGIUM
GRECIA,GREECE
NIGERIA,NIGERIA
GUATEMALA,GUATEMALA
ANGOLA,ANGOLA
FINLANDIA,FINLAND
GUINEA,GUINEA
BRASIL,BRAZIL
ALEMANIA,GERMANY
SUIZA,SWITZERLAND
CAMERUN,CAMEROON
MOLDAVIA,MOLDAVIA
SAHARA OCCIDENTAL,WESTERN SAHARA
EGIPTO,EGYPT
COSTA DE MARFIL,IVORY COAST
BIELORRUSIA,Belorussia
SUECIA,SWEDEN
INDIA,INDIA
AUSTRIA,AUSTRIA
CROACIA,CROATIA
MEXICO,MEXICO
DINAMARCA,DENMARK
DOMINICA,Commonwealth of Dominica
ESLOVENIA,SLOVENIA
LITUANIA,LITHUANIA
ZAIRE,ZAIRE
PUERTO RICO,PUERTO RICO
BENIN,BENIN
LIBERIA,LIBERIA
CHIPRE,CYPRUS
BURKINA FASO,BURKINA FASO
IRLANDA,IRELAND
REPUBLICA CHECA,CZECH REPUBLIC
PRINCIPADO DE ANDORRA,Andorra
BANGLA DESH,BANGLADESH
GUINEA BISSAU,GUINEA-BISSAU
ISRAEL,ISRAEL
BURUNDI,BURUNDI
REPUBLICA DE COREA,REPUBLIC OF KOREA
ESLOVAQUIA,SLOVAKIA
INDONESIA,INDONESIA
ESTONIA,ESTONIA
JAPON,JAPAN
TURQUIA,Turkey - country
PARAGUAY,PARAGUAY
CONGO,CONGO
VIETNAN,VIETNAN
NORUEGA,NORWAY
ANTILLAS HOLANDESAS,NETHERLANDS ANTILLES
SIERRA LEONA,SIERRA LEONE
PANAMA,PANAMA
HUNGRIA,HUNGARY
AUSTRALIA,AUSTRALIA
REPUBLICA SUDAFRICANA,SUDAFRICAN REPUBLIC
LIBIA,LIBYA
TUNEZ,TUNISIA
NEPAL,NEPAL
NUEVA ZELANDA,NEW ZEALAND
ETIOPIA,ETHIOPIA
ALBANIA,ALBANIA
COSTA RICA,COSTA RICA
KYRGYZSTAN,KYRGYZSTAN
GEORGIA,GEORGIA
ARMENIA,ARMENIA
SERBIA,SERBIA
YEMEN,YEMEN
BOSNIA-HERZEGOVINA,Bosnia - Herzegovnia
MOZAMBIQUE,MOZAMBIQUE
REPUBLICA CENTROAFRICANA,CENTRAL AFRICAN REPUBLIC
VANUATU,VANUATU
TCHAD,CHAD
ARABIA SAUDITA,SAUDI ARABIA
APATRIDAS,STATELESS
REPUBLICA DE IRAQ,Iraq
ZIMBABWE,ZIMBABWE
NIGER,NIGER
REPUBLIC POPULAR DE COREA,PEOPLE'S REPUBLIC OF KOREA
GABON,GABON
REPUBLICA DE UGANDA,REPUBLIC OF UGANDA
ISLAS FIDJI,FIDJI ISLANDS
SEYCHELLES,SEYCHELLES
UZBEKISTAN,UZBEKISTAN
TOGO,TOGO
HAITI,HAITI
IRAN,IRAN
SINGAPUR,SINGAPORE
RUANDA,RWANDA
SOMALIA,SOMALIA
AFGANISTAN,AFGHANISTAN
REUNION,MEETING
AZERBAIYAN,AZERBAIJAN
TANZANIA,TANZANIA
KENIA,KENYA
SUDAN,SUDAN
ERITREA,ERITREA
LESHOTO,LESHOTO
BARBADOS,BARBADOS
KUWAIT,KUWAIT
MALTA,MALT
SWAZILANDIA-NGWANE,SWAZILAND-NGWANE
GRAN DUCADO DE LUXEMBURGO,GRAND DUCHY OF LUXEMBOURG
BUTHAN,Bhutan
ISLA MAURICIO,MAURICE ISLAND
LAOS,LAOS
REINO DE CAMBOYA,KINGDOM OF CAMBODIA
TAILANDIA,THAILAND
PAPUA NUEVA GUINEA,PAPUA NEW GUINEA
EMIRATOS ARABES UNIDOS,UNITED ARAB EMIRATES
BAHREIN,BAHRAIN
TIMOR ORIENTAL,EAST TIMOR
LIECHTENSTEIN,LIECHTENSTEIN
REPUBLICA DE TRINIDAD Y TOBAGO,REPUBLIC OF TRINIDAD AND TOBAGO
REPUBLICA MALGACHE,MALAGACHE REPUBLIC
POLINESIA FRANCESA,FRENCH POLYNESIA
JAMAICA,JAMAICA
MALASIA,MALAYSIA
ZAMBIA,ZAMBIA
BOTSWANA,BOTSWANA
SURINAM,SURINAM
ISLAS VIRGENES (BRITANIC),VIRGIN ISLANDS (BRITISH)
TAJIKISTAN,TAJIKISTAN
DEP.GUIANA (GUYANA FRAN),DEP.GUIANA (GUYANA FRAN)
MONTENEGRO,MONTENEGRO
SRI-LANKA,SRI LANKA
HONG KONG,HONG KONG
MALAWI,MALAWI
QATAR,QATAR
NUEVA CALEDONIA,NEW CALEDONIA
MALDIVAS,MALDIVES
SANTO TOME Y PRINCIPE,SAO TOME AND PRINCIPE
SAMOA,SAMOA
REPUBLICA ISLAS MARSHALL,MARSHALL ISLANDS REPUBLIC
MARTINICA,MARTINIQUE
PRINCIPADO DE MONACO,PRINCIPALITY OF MONACO
ARUBA,ARUBA
OMAN,OMAN
EST.FEDERADOS MICRONESIA,FEDERATED STATES OF MICRONESIA
GUADALUPE,GUADELOUPE
SANTA LUCIA,ST. LUCIA
UNION DE MYANMAR,UNION OF MYANMAR
CIUDAD VATICANO,VATICAN CITY
NAMIBIA,NAMIBIA
REP.FED.ISL.COMORES,COMORES FED.ISL.REP.
BERMUDAS,BERMUDA
REPUBLICA DE PALAU,REPUBLIC OF PALAU
REPUBLICA MACEDONIA,MACEDONIAN REPUBLIC
NAURU,NAURU
GRANADA,GRENADE
GUYANA,GUYANA
COMMONWEALTH DE BAHAMAS,Bahamas
SAN KITTS Y NEVIS,SAINT KITTS AND NEVIS
TURKMENISTAN,TURKMENISTAN
ISLAS VIRGENES (BRITANIC),VIRGIN ISLANDS (BRITISH)
